Frequency/Features,Design_1,Design_2,Design_3,Design_4,Design_5,Design_6,Design_7,Design_8,Design_9,Design_10,Design_11,Design_12,Design_13,Design_14,Design_15,Design_16,Design_17,Design_18,Design_19,Design_20,Design_21,Design_22,Design_23,Design_24,Design_25,Design_26,Design_27,Design_28,Design_29,Design_30,Design_31,Design_32,Design_33,Design_34,Design_35,Design_36,Design_37,Design_38,Design_39,Design_40,Design_41,Design_42,Design_43,Design_44,Design_45,Design_46,Design_47,Design_48,Design_49,Design_50
0.42100841,0.81883651,0.86879368,0.88766301,0.89935188,0.88414367,0.30522366,0.50866349,0.81883651,0.86879513,0.88766343,0.89934974,0.88414367,0.30522549,0.50866614,0.81883706,0.86879182,0.88766375,0.89934974,0.88413711,0.30522398,0.50866349,0.86673345,0.87873276,0.93507351,0.95458498,0.95339689,0.82653152,0.31725236,0.86673345,0.87873276,0.93507351,0.95459035,0.95340026,0.82653404,0.31725236,0.86672857,0.87873276,0.93507351,0.95458464,0.95340465,0.82653258,0.31725297,0.88251628,0.88124104,0.9532311,0.94912023,0.95437999,0.94743386,0.82888233,0.88251615
0.42605042,0.70266726,0.8113161,0.87037024,0.87612159,0.86153728,0.53581386,0.75661244,0.70266726,0.81131745,0.87037067,0.87611989,0.86153728,0.53581751,0.7566162,0.70266764,0.8113145,0.87036981,0.87611989,0.86153132,0.53581479,0.75661244,0.81333195,0.85684142,0.89874339,0.92934695,0.93554498,0.64062292,0.35395091,0.81333195,0.85684142,0.89874339,0.92935193,0.93554909,0.64062524,0.35395091,0.8133273,0.85684142,0.89874339,0.92934683,0.93555248,0.64062364,0.35395169,0.85506397,0.85621746,0.92616096,0.95315847,0.94337554,0.90048953,0.61323343,0.85506305
0.43109244,0.59058417,0.6948937,0.82557333,0.85080574,0.79563606,0.76915136,0.85044119,0.59058417,0.69489501,0.82557363,0.85080428,0.795636,0.76915554,0.85044523,0.59058437,0.69489213,0.82557265,0.85080428,0.79563064,0.76915264,0.85044119,0.69309751,0.78614599,0.87318354,0.89176915,0.89538913,0.30660304,0.69664126,0.69309751,0.78614599,0.87318354,0.89177403,0.89539412,0.30660406,0.69664126,0.69309328,0.78614599,0.87318354,0.89176904,0.89539578,0.30660279,0.69664356,0.77297683,0.79142961,0.88861248,0.93946873,0.94714468,0.85744498,0.19124271,0.77297563
0.43377668,0.59400984,0.63754545,0.77397261,0.81457971,0.72119586,0.8108207,0.86512857,0.59400984,0.63754663,0.77397266,0.81457834,0.72119583,0.81082425,0.86513285,0.59401006,0.6375439,0.77397202,0.81457834,0.72119076,0.81082208,0.86512857,0.63119204,0.71751931,0.85849565,0.87864308,0.87941949,0.26211399,0.76800149,0.63119204,0.71751931,0.85849565,0.87864818,0.87942423,0.26211399,0.76800149,0.63118799,0.71751931,0.85849565,0.87864288,0.87942581,0.26211402,0.79489936,0.69983392,0.71892107,0.87509562,0.92118509,0.94178855,0.81997699,0.23319001,0.69983299
0.43613446,0.59743551,0.5801972,0.72237189,0.77835367,0.64675566,0.85249004,0.87981596,0.59743551,0.58019825,0.72237169,0.77835239,0.64675566,0.85249297,0.87982047,0.59743575,0.58019567,0.72237139,0.77835239,0.64675088,0.85249151,0.87981596,0.56928657,0.64889262,0.84380776,0.86551702,0.86344984,0.39204394,0.83936173,0.56928657,0.64889262,0.84380776,0.86552233,0.86345434,0.39204518,0.83936173,0.56928269,0.64889262,0.84380776,0.86551672,0.86345584,0.39204347,0.83936231,0.62669102,0.64641254,0.86157876,0.90290145,0.93643241,0.78250901,0.43996785,0.62669036
0.44117647,0.70965162,0.58114665,0.59333856,0.64563584,0.48319026,0.88390192,0.92117624,0.70965162,0.58114763,0.59333795,0.6456347,0.48319026,0.88390448,0.92118122,0.70965182,0.58114518,0.59333845,0.6456347,0.48318638,0.88390242,0.92117624,0.58018911,0.53439502,0.76347186,0.82732419,0.82340135,0.69749112,0.87977782,0.58018911,0.53439502,0.76347186,0.82732957,0.8234047,0.69749356,0.87977782,0.5801846,0.53439502,0.76347186,0.82732395,0.82340704,0.69749046,0.87977723,0.537866,0.5097498,0.81252892,0.86947984,0.89924609,0.54173036,0.75522296,0.53786593
0.44621849,0.81441173,0.6913089,0.54604782,0.52391328,0.49319831,0.92640206,0.9440321,0.81441173,0.69130999,0.54604709,0.52391208,0.49319831,0.92640594,0.94403665,0.81441194,0.69130731,0.54604783,0.52391208,0.49319397,0.92640231,0.9440321,0.70770546,0.57779935,0.62518599,0.72742105,0.71323092,0.83139694,0.92746074,0.70770546,0.57779935,0.62518599,0.72742549,0.71323363,0.83140029,0.92746074,0.70769992,0.57779935,0.62518599,0.72742082,0.71323617,0.83139697,0.92746198,0.62527612,0.55926676,0.69415646,0.83696744,0.86251902,0.24175343,0.85211541,0.62527598
0.45126051,0.86541788,0.79962128,0.63169774,0.539275,0.65538787,0.94518751,0.9416318,0.86541788,0.79962242,0.63169728,0.53927338,0.65538787,0.94519135,0.94163574,0.86541822,0.79961999,0.6316979,0.53927338,0.65538211,0.94518912,0.9416318,0.81738847,0.7155981,0.51938046,0.57020872,0.52931976,0.873325,0.94674067,0.81738847,0.7155981,0.51938045,0.57021169,0.52932203,0.87332797,0.94674067,0.8173823,0.7155981,0.51938046,0.57020866,0.52932371,0.87332555,0.94674039,0.76595316,0.71803244,0.54006146,0.75604454,0.82708103,0.47702058,0.89847575,0.76595287
0.45630252,0.88518288,0.85626119,0.75295809,0.66688307,0.78978105,0.94287133,0.95015519,0.88518288,0.85626223,0.75295827,0.66688104,0.78978105,0.94287455,0.95015939,0.88518324,0.85625989,0.75295841,0.66688104,0.78977448,0.94287354,0.95015519,0.86601547,0.81823521,0.56736479,0.47447031,0.42573452,0.9191034,0.94606501,0.86601547,0.81823521,0.56736479,0.47447244,0.42573666,0.91910583,0.94606501,0.86600867,0.81823521,0.56736479,0.47447034,0.42573764,0.91910368,0.94606311,0.84706751,0.82623094,0.50478173,0.60416266,0.73794511,0.74148405,0.93957835,0.84706695
0.46134454,0.90783245,0.87936606,0.83197072,0.78300078,0.8500495,0.95398184,0.96258805,0.90783245,0.87936701,0.83197152,0.78299868,0.8500495,0.953985,0.96259261,0.90783281,0.87936362,0.8319709,0.78299868,0.85004318,0.95398279,0.96258805,0.88731725,0.86173015,0.70282169,0.56013018,0.55183487,0.9419471,0.96181031,0.88731725,0.86173015,0.70282169,0.56013272,0.55183798,0.94195005,0.96181031,0.88730973,0.86173015,0.70282169,0.56013025,0.55183898,0.9419477,0.96181089,0.87862036,0.86727025,0.63399727,0.46938556,0.5675228,0.84013281,0.94246366,0.87861996
0.46638656,0.93509578,0.90206297,0.8662562,0.84308084,0.87674896,0.96473781,0.96000667,0.93509578,0.90206405,0.86625724,0.84307874,0.87674896,0.96474031,0.96001109,0.93509609,0.90205888,0.86625618,0.84307874,0.87674279,0.96473847,0.96000667,0.91471394,0.88489798,0.80635975,0.71047516,0.72258586,0.94177575,0.96663723,0.91471394,0.88489798,0.80635975,0.71047866,0.72258984,0.94177926,0.96663723,0.91470604,0.88489798,0.80635975,0.71047523,0.72259119,0.94177626,0.96663783,0.90743749,0.89299537,0.77002205,0.51512439,0.42070148,0.88307907,0.95393942,0.90743788
0.47142857,0.94936084,0.92929451,0.8879535,0.86949388,0.90831199,0.96085572,0.95954134,0.94936084,0.92929581,0.88795399,0.86949155,0.90831199,0.96085763,0.95954572,0.94936116,0.92929021,0.88795324,0.86949155,0.90830539,0.96085726,0.95954134,0.94033225,0.91438392,0.8542092,0.81021948,0.81846898,0.95484701,0.96298356,0.94033225,0.91438392,0.8542092,0.81022371,0.81847277,0.95485001,0.96298356,0.94032482,0.91438392,0.8542092,0.81021929,0.81847475,0.95484697,0.96298298,0.93816415,0.92520834,0.84070234,0.67190607,0.49423891,0.9272409,0.96516223,0.93816504
0.47647059,0.94900235,0.94541373,0.9151375,0.89530753,0.93679015,0.96240872,0.96712887,0.94900235,0.94541509,0.91513726,0.89530472,0.93679015,0.96241178,0.96713321,0.9490026,0.94541063,0.91513717,0.89530472,0.9367834,0.96241056,0.96712887,0.94814719,0.9381367,0.8798859,0.85400916,0.85803378,0.96359941,0.97119621,0.94814719,0.9381367,0.87988596,0.85401371,0.85803737,0.96360241,0.97119621,0.94814074,0.9381367,0.8798859,0.85400887,0.85803993,0.96359975,0.97119684,0.95044907,0.94386618,0.87242921,0.7903181,0.6717374,0.94053392,0.96111812,0.95044932
